"po_auc","po_kappa","po_sensitivity","po_specificity","pa_auc","pa_kappa","pa_sensitivity","pa_specificity","Aou","sp_area","present_sites"
0.988392857142857,0.591071428571427,0.6,0.991071428571429,0.980357142857143,0.613393359594824,1,0.973214285714286,4360,947649.729984833,68
0.921917808219178,0.47716894977169,0.5,0.977168949771689,0.944748858447489,0.263335078925713,1,0.80365296803653,4691,1607229.92342394,104
0.901515151515151,0,0,1,0.90959595959596,0,0,1,5220,3384197.44656723,41
0.963235294117647,0,0,1,0.957013574660634,0.655431838699968,0.625,0.990950226244344,5940,545895.565480476,51
0.958875542208875,0.844161562787719,0.987654320987654,0.891891891891892,0.965048381715048,0.85133490221537,0.962962962962963,0.912162162162162,4650,3083083.78926346,489
0.916270874827639,0.640997208733224,0.819672131147541,0.822429906542056,0.925769878964302,0.671117494080658,0.942622950819672,0.719626168224299,6830,7615743.90335294,671
0.951162790697674,0.556324384168281,0.714285714285714,0.953488372093023,0.950498338870432,0.549055948106105,0.857142857142857,0.930232558139535,6650,2024135.16108351,128
0.968115942028986,0.886413064214583,0.894736842105263,0.991304347826087,0.979023646071701,0.868928148967833,0.87719298245614,0.991304347826087,7310,4419707.49693542,775
0.962580185317177,0.67222743201224,0.956521739130435,0.852459016393443,0.961867426942267,0.752164502164502,0.91304347826087,0.912568306010929,5330,7522173.14252894,306
0.94034632034632,0.728587231352718,0.986666666666667,0.811688311688312,0.964242424242424,0.740194489465154,0.946666666666667,0.844155844155844,5011,6060163.6800538,625
0.763292847503374,0.23432711061577,0.505263157894737,0.948717948717949,0.842645074224022,0.413926312231397,0.757894736842105,0.82051282051282,3250,10055880.9715369,1310
0.946739130434783,0.70882856984908,0.866666666666667,0.907608695652174,0.953019323671498,0.711677683349071,0.933333333333333,0.885869565217391,4590,6240624.49495918,279
0.944343539180073,0.617175407095536,0.731707317073171,0.914893617021277,0.947976128697457,0.700120475616783,1,0.867021276595745,3490,3086254.23353393,204
0.985781990521327,0.836824853926179,0.777777777777778,0.995260663507109,0.985255397577672,0.711526348939744,0.944444444444444,0.947867298578199,2940,1861912.125116,133
0.969823434991974,0.793296966367097,0.932584269662921,0.878571428571429,0.981300160513644,0.82133104470625,0.966292134831461,0.878571428571429,7350,6417334.15895156,715
0.947368421052632,0.542249681991641,0.8,0.913875598086124,0.949760765550239,0.402741553951598,1,0.794258373205742,7430,2843193.72006578,156
0.971153846153846,0.681738163624572,0.904761904761905,0.9375,0.961309523809524,0.549758015728977,0.952380952380952,0.879807692307692,7670,2306486.73105933,144
0.934782608695652,0.797667432408553,0.866666666666667,0.951086956521739,0.983695652173913,0.858570546291618,0.977777777777778,0.945652173913043,6670,3895152.39394309,310
0.948056415548676,0.810587262200166,0.895424836601307,0.947368421052632,0.971792225662195,0.844508572398574,0.934640522875817,0.921052631578947,7050,6742660.5636937,1008
0.955643390425999,0.740460899131092,0.909090909090909,0.951690821256039,0.956960913482653,0.633846671715897,0.909090909090909,0.917874396135266,3480,2506638.17199511,134
0.988823529411765,0.814240648940964,0.92,0.965686274509804,0.991764705882353,0.860036671614424,1,0.965686274509804,4780,2433400.74415867,209
0.995716034271726,0.932308601832693,1,0.965116279069767,0.995206038351693,0.931532788519035,0.982456140350877,0.970930232558139,5170,6649719.00515431,374
0.981900452488688,0.762858129099067,0.625,1,0.988122171945701,0.870475113122172,0.875,0.995475113122172,7410,685403.889968337,79
0.917608156516947,0.592484036428347,0.947368421052632,0.832460732984293,0.943372829980711,0.697698444584744,0.947368421052632,0.890052356020942,3000,5146806.52903947,255
0.955865921787709,0.658933971205488,0.815642458100559,1,0.97340782122905,0.728994082840237,0.860335195530726,1,4440,9089870.02337839,1140
0.711034614649072,0.400415312387143,0.634920634920635,0.789156626506024,0.768789443488239,0.389052437902484,0.603174603174603,0.801204819277108,3091,7020793.15874793,607
0.960606060606061,0.474167623421354,0.666666666666667,0.959090909090909,0.948989898989899,0.409641660221707,0.888888888888889,0.913636363636364,7221,873605.289833644,96
0.978267766497462,0.681403617251507,0.75,0.949238578680203,0.984612944162436,0.772260160445535,1,0.923857868020305,6860,2434596.84878941,163
0.963356973995272,0.820701534606953,0.911111111111111,0.914893617021277,0.980220646178093,0.892074463906999,0.948148148148148,0.946808510638298,4560,5843958.85332896,908
0.967181467181467,0.553219163234338,0.857142857142857,0.963963963963964,0.914414414414414,0.331433337967469,0.857142857142857,0.90990990990991,4330,1225419.584304,103
0.964840182648402,0.450462804250944,0.3,1,0.942694063926941,0.768803634528016,0.7,0.995433789954338,3280,2753189.4266226,32
0.97275641025641,0.619727665227499,0.692307692307692,0.972222222222222,0.978632478632479,0.695782132181999,0.769230769230769,0.976851851851852,3270,623533.036061627,67
0.951010101010101,0.518184550646228,0.444444444444444,0.990909090909091,0.954040404040404,0.36107881887933,0.888888888888889,0.895454545454546,6440,826177.867723948,62
0.9382056759231,0.807827281049741,0.902654867256637,0.905172413793103,0.930576747024718,0.764124670964788,0.876106194690266,0.887931034482759,3390,9558723.92087919,593
0.787717601547389,0.467309130181939,0.602272727272727,0.851063829787234,0.833172147001934,0.526468155500414,0.647727272727273,0.865248226950355,3310,7857026.89837492,518
0.768555116381203,0.294792833146697,0.826086956521739,0.636363636363636,0.895256916996047,0.342378245326144,0.777777777777778,0.863636363636364,4930,10865038.0359904,1394
0.955195681511471,0.697089947089947,0.871794871794872,0.910526315789474,0.978677462887989,0.692121538047862,1,0.868421052631579,4540,2624704.84178958,243
0.803468899521531,0,0,1,0.83421052631579,0.397368421052632,0.45,0.947368421052632,2881,2815442.68792016,103
0.986166007905138,0.903355138214813,0.954545454545455,0.985507246376812,0.993631971892841,0.926073388572043,0.954545454545455,0.990338164251208,6050,2303108.24616497,151
0.937858220211161,0.58777490803788,0.617647058823529,0.948717948717949,0.937556561085973,0.535496957403651,0.941176470588235,0.815384615384615,5210,7229452.33577378,212
0.936325187969925,0.707874289690363,0.875,0.842105263157895,0.960604636591479,0.774674538298517,0.989583333333333,0.81203007518797,6080,3999483.80564411,626
0.703893776474422,0.254400971248827,0.612903225806452,0.762626262626263,0.780547409579668,0.356569440727856,0.580645161290323,0.853535353535353,7250,8151650.87486219,203
0.811212814645309,0.580714067744888,0.808695652173913,0.771929824561403,0.873531655225019,0.615566577642121,0.852173913043478,0.763157894736842,5460,8716456.42675133,723
0.968992248062015,0.770974552728081,0.953488372093023,0.913978494623656,0.975993998499625,0.726886180969665,1,0.876344086021505,5880,3976671.21501926,324
0.901263823064771,0.372172721041809,0.5,0.928909952606635,0.907846234860453,0.373694679264048,1,0.791469194312796,7170,2632058.86572061,105
0.860710321864595,0,0,1,0.880410654827969,0.165617754223254,0.176470588235294,0.962264150943396,6470,1631275.48817087,59
0.999761980323707,0.981766064177084,0.978260869565217,1,0.999761980323707,0.990931770482715,1,0.992700729927007,7360,2715356.97824426,475
